side,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,realized_r,atr_at_exit,level_price,level_time,h4_signal,cost_r,net_r
short,2023-09-07 09:30:00+00:00,1919.528,1920.7343677977337,1915.9088966067989,2023-09-07 10:00:00+00:00,1920.7343677977337,stop,-1.0,1.0706370377038823,1919.715,1694070900000000000,-1,0.25160805225024124,-1.2516080522502413
short,2023-09-07 11:00:00+00:00,1920.815,1922.466163961114,1915.8615081166581,2023-09-07 12:00:00+00:00,1922.466163961114,stop,-1.0,1.119568547252818,1921.048,1678996800000000000,-1,0.18531074718721965,-1.1853107471872197
short,2023-09-07 14:15:00+00:00,1917.535,1919.4840086112258,1911.6879741663229,2023-09-07 14:30:00+00:00,1919.4840086112258,stop,-1.0,2.0893123680799257,1917.605,1688604300000000000,-1,0.18186970358282412,-1.181869703582824
short,2023-09-07 20:00:00+00:00,1918.938,1919.7016916376874,1916.6469250869382,2023-09-07 22:00:00+00:00,1919.7016916376874,stop,-1.0,1.0063394561285608,1918.945,1688137200000000000,-1,0.39324376225445734,-1.3932437622544573
short,2023-09-07 22:30:00+00:00,1919.725,1920.404615869519,1917.6861523914429,2023-09-08 00:00:00+00:00,1920.404615869519,stop,-1.0,0.8209776827491958,1919.745,1691747100000000000,-1,0.428254985192511,-1.428254985192511
short,2023-09-08 00:30:00+00:00,1922.755,1924.7001034107927,1916.9196897676222,2023-09-08 01:15:00+00:00,1924.7001034107927,stop,-1.0,1.1934854148587484,1922.805,1692862200000000000,-1,0.1592070987201373,-1.1592070987201373
short,2023-09-08 01:30:00+00:00,1925.435,1926.2910423655678,1922.8668729032963,2023-09-08 02:30:00+00:00,1926.2910423655678,stop,-1.0,1.1384412747276815,1925.465,1689033600000000000,-1,0.3585360679348866,-1.3585360679348866
short,2023-09-08 08:00:00+00:00,1923.935,1925.0124898107435,1920.7025305677691,2023-09-08 09:00:00+00:00,1925.0124898107435,stop,-1.0,1.0611358535200512,1924.245,1693301400000000000,-1,0.28126186406055775,-1.2812618640605578
short,2023-09-08 09:45:00+00:00,1925.088,1925.6454932729794,1923.4155201810618,2023-09-08 10:45:00+00:00,1923.4155201810618,target,3.0,0.9813844378696478,1925.165,1687804200000000000,-1,0.4484359042826294,2.5515640957173704
short,2023-09-08 12:00:00+00:00,1923.078,1924.0147489326005,1920.2677532021985,2023-09-08 12:15:00+00:00,1924.0147489326005,stop,-1.0,1.0673419342399288,1923.148,1674150300000000000,-1,0.3238510193652676,-1.3238510193652675
short,2023-09-08 12:30:00+00:00,1924.388,1926.2978238245385,1918.6585285263843,2023-09-08 13:45:00+00:00,1926.2978238245385,stop,-1.0,2.023371229152333,1924.475,1687865400000000000,-1,0.1838748459127996,-1.1838748459127997
long,2023-09-20 19:00:00+00:00,1940.285,1938.0824300848328,1946.8927097455019,2023-09-20 19:15:00+00:00,1938.0824300848328,stop,-1.0,2.505097356469761,1940.245,1693491300000000000,1,0.17037137629067806,-1.170371376290678
